"tract","Name","Household_Income_rP_gP_pall"
36119007000,"Larchmont, NY",68893
36059521500,"Massapequa Park, NY",68875
36059521601,"Massapequa Park, NY",68843
36103111801,"Elwood, NY",68767
34023001504,"Edison, NJ",68767
34039032902,"Union, NJ",68731
34003003401,"Bergenfield, NJ",68729
36059408200,"East Meadow, NY",68631
36081089200,"Queens County, NY",68627
36103110502,"Greenlawn, NY",68626
34013021000,"Verona, NJ",68616
34013013400,"Nutley, NJ",68593
36047063600,"Kings County, NY",68556
36085024401,"Richmond County, NY",68504
36059409700,"North Wantagh, Wantagh, NY",68492
36059410200,"Malverne, NY",68475
36103135102,"Commack, NY",68450
36085017005,"Richmond County, NY",68448
36059406001,"West Hempstead, NY",68433
36103111804,"Commack, NY",68403
36047056800,"Kings County, NY",68286
36081114700,"Queens County, NY",68280
36047064000,"Kings County, NY",68224
34013014800,"Bloomfield, NJ",68223
36047014800,"Kings County, NY",68195
34003052100,"Saddle Brook, NJ",68152
36059416300,"Atlantic Beach, NY",68146
36061020101,"Upper Manhattan, New York, NY",68130
36081124700,"Queens County, NY",68119
36085015100,"Richmond County, NY",68119
36081099100,"Queens County, NY",68099
36059416100,"Seaford, NY",68053
34003042500,"Paramus, NJ",68040
36059521602,"Massapequa Park, NY",68025
36059520001,"Bethpage, NY",67993
36047000301,"Kings County, NY",67973
36059414800,"North Bellmore, NY",67961
36081152902,"Queens County, NY",67950
34003033100,"Maywood, NJ",67922
36059405301,"Franklin Square, NY",67881
36085019800,"Richmond County, NY",67867
36081072300,"Queens County, NY",67836
36103112103,"Commack, NY",67829
36081098700,"Queens County, NY",67826
36081141700,"Queens County, NY",67800
36059519200,"Hicksville, Hicksville, NY",67752
36059414700,"Merrick, NY",67751
36059521700,"Massapequa Park, NY",67695
36059520502,"South Farmingdale, NY",67672
34013014900,"Bloomfield, NJ",67671
34003017300,"Fair Lawn, NJ",67668
34023001414,"Edison, NJ",67665
36103111703,"East Northport, NY",67636
34027044102,"Gillette, NJ",67608
34003055200,"Tenafly, NJ",67597
36061005700,"Lower Manhattan, New York, NY",67556
36081119300,"Queens County, NY",67539
36005030701,"Bronx County, NY",67529
36059408500,"North Bellmore, NY",67511
36081108500,"Queens County, NY",67503
36085014604,"Richmond County, NY",67496
36081049500,"Queens County, NY",67483
36081103900,"Queens County, NY",67483
36059303700,"Mineola, NY",67466
36061013600,"Upper East Side, New York, NY",67420
36103146800,"West Islip, NY",67409
36047041402,"Kings County, NY",67396
36059517000,"Glen Cove, NY",67381
36081099705,"Queens County, NY",67367
36119001401,"Lincoln Park, Yonkers, NY",67361
34027042000,"Whippany, Hanover, NJ",67337
34027040900,"Boonton, NJ",67322
36081105900,"Queens County, NY",67305
36081133300,"Queens County, NY",67295
36059520700,"Massapequa, NY",67283
34031246104,"Wayne, NJ",67263
36085027704,"Richmond County, NY",67237
36047037000,"Kings County, NY",67214
36103135104,"Smithtown, NY",67185
34013013800,"Nutley, NJ",67181
36059300300,"Great Neck, NY",67174
36103146705,"West Islip, NY",67171
36103112104,"Dix Hills, NY",67113
36059520900,"Massapequa, NY",67102
36047016600,"Kings County, NY",67087
34031124322,"Clifton, NJ",67076
36047068600,"Kings County, NY",67034
34003060000,"Wood-Ridge, NJ",67015
34013021601,"Fairfield, NJ",67011
36103146901,"West Islip, NY",67011
36081136700,"Queens County, NY",67003
36059415300,"Bellmore, NY",66976
36059404500,"Floral Park, NY",66975
34003051200,"Rutherford, NJ",66974
34039038700,"Fanwood, NJ",66970
36085009601,"Richmond County, NY",66946
34013017302,"West Orange, NJ",66937
34003042100,"Paramus, NJ",66881
36047075400,"Kings County, NY",66875
36085018901,"Richmond County, NY",66870
36059519000,"Hicksville, Levittown, NY",66843
36103110300,"Halesite, NY",66817
34003025200,"Hasbrouck Heights, NJ",66806
36081138501,"Queens County, NY",66803
36081150701,"Queens County, NY",66802
36061011800,"Lenox Hill, New York, NY",66778
36061014402,"Yorkville, New York, NY",66759
36059409600,"North Wantagh, Wantagh, NY",66756
34039036900,"Garwood, NJ",66736
34013021200,"Verona, NJ",66719
34031124311,"Montclair, NJ",66662
34013019900,"Maplewood, NJ",66655
36081113300,"Queens County, NY",66647
