"tract","Name","Household_Income_rP_gP_pall"
6059021916,"Anaheim Hills, Anaheim, CA",60121
6059110008,"Los Alamitos, CA",60114
6059021919,"Anaheim Hills, Anaheim, CA",60108
6111005907,"Westlake Village, CA",60103
6059110006,"Rossmoor, CA",60099
6059099234,"Fountain Valley, CA",60038
6037554518,"Cerritos, CA",60024
6111006700,"Thousand Oaks, CA",60024
6037265202,"Westwood, Los Angeles, CA",60008
6059099231,"Fountain Valley, CA",60003
6071000814,"Upland, CA",60003
6059052420,"Lower Peters Canyon, Irvine, CA",59944
6037265410,"Los Angeles, CA",59944
6037106603,"Granada Hills, Los Angeles, CA",59889
6037403403,"Valle Lindo, Walnut, CA",59851
6037400207,"Bonita, La Verne, CA",59788
6037102104,"Burbank, CA",59780
6111005909,"Newbury Park, Thousand Oaks, CA",59751
6037265700,"Westwood, Los Angeles, CA",59718
6059063009,"East Bluff, Newport Beach, CA",59679
6059021820,"Yorba Linda, CA",59676
6111005305,"Camarillo, CA",59630
6037141202,"Sherman Oaks, Los Angeles, CA",59589
6059021905,"Anaheim Hills, Anaheim, CA",59581
6037267100,"West Los Angeles, Los Angeles, CA",59534
6059052528,"El Camino Real, Irvine, CA",59526
6037530005,"South Montebello, Montebello, CA",59514
6071000813,"Upland, CA",59484
6037408628,"Hacienda Heights, CA",59468
6111006301,"Thousand Oaks, CA",59448
6059032032,"Mission Viejo, CA",59447
6037124000,"Valley Village, Los Angeles, CA",59445
6037300301,"Crescenta Highlands, Glendale, CA",59437
6059099412,"Huntington Beach, CA",59436
6059052415,"Lake Forest, CA",59414
6037800506,"Eastern Malibu, Malibu, CA",59383
6037503703,"La Mirada, CA",59343
6071000105,"Chino Hills, CA",59306
6111005306,"Camarillo, CA",59279
6111008500,"Simi Valley, CA",59262
6037651002,"Southeast Torrance, Torrance, CA",59235
6111007202,"Thousand Oaks, CA",59228
6037310100,"Burbank, CA",59224
6059063010,"Newport Beach, CA",59217
6037554516,"Cerritos, CA",59207
6059032031,"Mission Viejo, CA",59206
6037651401,"Hillside, Torrance, CA",59203
6059052511,"Woodbridge, Irvine, CA",59186
6037401304,"Bonita, San Dimas, CA",59148
6059021815,"Yorba Linda, CA",59134
6037800504,"Eastern Malibu, Malibu, CA",59127
6059021810,"Placentia, CA",59096
6071000118,"Chino Hills, CA",59031
6059052522,"Westpark, Irvine, CA",59004
6037111204,"Northridge, Los Angeles, CA",58994
6059032042,"Trabuco Canyon, CA",58984
6071000820,"Upland, CA",58980
6037800324,"Agoura Hills, CA",58932
6037482002,"Monterey Park, CA",58931
6037430803,"Arcadia, CA",58911
6037265201,"Westwood, Los Angeles, CA",58910
6037265602,"Westwood, Los Angeles, CA",58898
6059052524,"Tustin, CA",58894
6037262604,"Pacific Palisades, Los Angeles, CA",58866
6037480702,"South Pasadena, CA",58826
6037650603,"Torrance, CA",58755
6059011710,"Placentia, CA",58754
6037276400,"Westchester, Los Angeles, CA",58728
6037620400,"Manhattan Beach, CA",58721
6037403325,"Valle Lindo, Diamond Bar, CA",58715
6037670411,"Rancho Palos Verdes, CA",58678
6059052526,"El Camino Real, Irvine, CA",58664
6037143602,"Studio City, Los Angeles, CA",58600
6037431700,"Arcadia, CA",58595
6037700801,"Beverly Hills, CA",58572
6037700901,"Central LA, Beverly Hills, CA",58571
6037554511,"Cerritos, CA",58560
6037262100,"Bel Air, Los Angeles, CA",58555
6037301300,"Glenwood, Glendale, CA",58553
6037554517,"Cerritos, CA",58466
6059011715,"Placentia, CA",58315
6059021823,"Yorba Linda, CA",58269
6111007610,"Moorpark, CA",58250
6037137504,"Woodland Hills, Los Angeles, CA",58214
6059063907,"South Coast Metro, Costa Mesa, CA",58172
6037482001,"Monterey Park, CA",58068
6059001501,"Brea, CA",58058
6059110011,"Cypress, CA",58045
6037577603,"Marina, Long Beach, CA",58040
6111005303,"Camarillo, CA",58014
6037403500,"Covina, CA",57969
6059110004,"Garden Grove, CA",57961
6059110007,"Rossmoor, CA",57956
6059075607,"Tustin, CA",57855
6059052514,"Woodbridge, Irvine, CA",57798
6065042207,"Canyon Crest, Riverside, CA",57778
6037401800,"Claremont, CA",57772
6037137402,"Woodland Hills, Los Angeles, CA",57765
6059099225,"Fountain Valley, CA",57724
6037267200,"West Los Angeles, Los Angeles, CA",57675
6037408505,"Hacienda Heights, CA",57670
6037262200,"Bel Air, Los Angeles, CA",57651
6059021920,"Anaheim, CA",57557
6037401201,"Glendora, CA",57499
6059110010,"Cypress, CA",57472
6037138000,"Woodland Hills, Los Angeles, CA",57464
6037274202,"Venice, Marina del Rey, CA",57459
6037403404,"Valle Lindo, Walnut, CA",57459
6059099243,"Huntington Beach, CA",57457
6037194300,"Central LA, Los Angeles, CA",57450
6059052408,"Lake Forest, CA",57413
6037124700,"Van Nuys, Los Angeles, CA",57393
6037403323,"Valle Lindo, Diamond Bar, CA",57379
6065046601,"Norco, CA",57378
6059021822,"Yorba Linda, CA",57370
6059075813,"Orange, CA",57339
6037139402,"Tarzana, Los Angeles, CA",57335
6059021802,"Yorba Linda, CA",57331
6037113231,"Canoga Park, Los Angeles, CA",57321
6059001704,"Fullerton, CA",57314
6037620904,"Manhattan Beach, CA",57312
6037194102,"Central LA, Los Angeles, CA",57268
6059052423,"Lake Forest, CA",57260
6111006400,"Thousand Oaks, CA",57230
6037111302,"Northridge, Los Angeles, CA",57225
6037115101,"Northridge, Los Angeles, CA",57214
6037137301,"Woodland Hills, Los Angeles, CA",57205
6037700802,"Beverly Hills, CA",57196
6059099224,"Fountain Valley, CA",57149
6111005901,"Newbury Park, Thousand Oaks, CA",57101
6037113101,"Chatsworth, Los Angeles, CA",57094
6059099239,"Huntington Beach, CA",57080
6037577602,"Bixby Village, Long Beach, CA",57074
6059062610,"Irvine Business Complex, Irvine, CA",57049
6059099230,"Fountain Valley, CA",57036
6037800410,"Malibu, CA",57008
6059052506,"El Camino Real, Irvine, CA",57005
6037301205,"Glenwood, Glendale, CA",56958
6037670407,"Rancho Palos Verdes, CA",56927
6037403407,"Valle Lindo, Walnut, CA",56909
6037300800,"Verdugo Woodlands, Glendale, CA",56860
6059011716,"Placentia, CA",56856
6037554522,"Cerritos, CA",56850
6037300701,"Glendale, CA",56845
6071000104,"Chino Hills, CA",56814
6037300200,"La Crescenta, La Crescenta-Montrose, CA",56807
6059001708,"La Habra, CA",56715
6059099244,"Huntington Beach, CA",56636
6059011717,"Placentia, CA",56624
6111007506,"Simi Valley, CA",56617
6071000815,"Upland, CA",56597
6037651302,"Riviera, Torrance, CA",56592
6037189300,"Central LA, Los Angeles, CA",56588
6037480012,"San Gabriel, CA",56584
6037143901,"Studio City, Los Angeles, CA",56577
6037406300,"West Covina, CA",56544
6037800331,"Westlake Village, CA",56529
6071000111,"Chino Hills, CA",56448
6037463700,"South Arroyo, Pasadena, CA",56425
6037262706,"Pacific Palisades, Los Angeles, CA",56417
6059099906,"Westminster, CA",56410
6037408703,"Rowland Heights, CA",56408
6037430802,"Arcadia, CA",56401
6037650702,"Southwood, Torrance, CA",56355
6037920303,"Los Angeles County, CA",56331
6059052422,"Lake Forest, CA",56318
6037264302,"Brentwood, Los Angeles, CA",56318
6037651221,"Southwood Riviera, Torrance, CA",56301
6111005205,"Camarillo, CA",56285
6037408627,"Rowland Heights, CA",56245
6059032049,"Rancho Santa Margarita, CA",56230
6037481714,"Monterey Park, CA",56214
6071002014,"Rancho Cucamonga, CA",56201
6037650502,"West Torrance, Torrance, CA",56175
6111005908,"Newbury Park, Thousand Oaks, CA",56161
6071000117,"Chino Hills, CA",56123
6059110116,"La Palma, CA",56102
6059099232,"Fountain Valley, CA",56079
6059052523,"Westpark, Irvine, CA",56073
6059011707,"Fullerton, CA",56070
6037408503,"Hacienda Heights, CA",56068
6059099504,"Seal Beach, CA",56067
6059021816,"Yorba Linda, CA",56033
6059099229,"Fountain Valley, CA",56033
6111007509,"Thousand Oaks, CA",56001
6037701302,"Wilshire Montana, Santa Monica, CA",55991
6111007508,"Thousand Oaks, CA",55961
6059110605,"Fullerton, CA",55930
6111005801,"Newbury Park, Thousand Oaks, CA",55921
6071002017,"Rancho Cucamonga, CA",55912
6065041804,"Corona, CA",55887
6111005910,"Newbury Park, Thousand Oaks, CA",55858
6037106645,"Granada Hills, Los Angeles, CA",55841
6059011709,"Placentia, CA",55781
6059021809,"Yorba Linda, CA",55736
6037296401,"San Pedro, Los Angeles, CA",55712
6037920312,"Newhall, Santa Clarita, CA",55708
